"customer_key","customer_number","customer_name","age","age_group","customer_segment","recency","total_orders","total_sales","total_quantity","total_product","last_order","lifespan","avg_order_value","avg_monthly_spend"
1,AW00011000,Jon Yang,53.0,"50 and above",VIP,145.0,3,8249,8,8,2013-05-03,27.0,2749,305.51851851851853
2,AW00011001,Eugene Huang,49.0,"40-49",VIP,138.0,3,6384,11,10,2013-12-10,34.0,2128,187.76470588235293
3,AW00011002,Ruben Torres,54.0,"50 and above",VIP,148.0,3,8114,4,4,2013-02-23,25.0,2704,324.56
4,AW00011003,Christy Zhu,51.0,"50 and above",VIP,145.0,3,8139,9,9,2013-05-10,28.0,2713,290.67857142857144
5,AW00011004,Elizabeth Johnson,45.0,"40-49",VIP,146.0,3,8196,6,6,2013-05-01,27.0,2732,303.55555555555554
6,AW00011005,Julio Ruiz,48.0,"40-49",VIP,146.0,3,8121,6,6,2013-05-02,28.0,2707,290.0357142857143
7,AW00011006,Janet Alvarez,48.0,"40-49",VIP,145.0,3,8119,5,5,2013-05-14,27.0,2706,300.7037037037037
8,AW00011007,Marco Mehta,55.0,"50 and above",VIP,147.0,3,8211,8,8,2013-03-19,26.0,2737,315.8076923076923
9,AW00011008,Rob Verhoff,49.0,"40-49",VIP,148.0,3,8106,7,7,2013-03-02,25.0,2702,324.24
10,AW00011009,Shannon Carlson,55.0,"50 and above",VIP,145.0,3,8091,5,5,2013-05-09,27.0,2697,299.6666666666667
11,AW00011010,Jacquelyn Suarez,55.0,"50 and above",VIP,145.0,3,8088,4,4,2013-05-23,28.0,2696,288.85714285714283
12,AW00011011,Curtis Lu,56.0,"50 and above",VIP,147.0,3,8133,4,4,2013-03-19,26.0,2711,312.8076923076923
13,AW00011012,Lauren Walker,46.0,"40-49",NEW,140.0,2,81,5,5,2013-10-15,6.0,40,13.5
14,AW00011013,Ian Jenkins,45.0,"40-49",NEW,137.0,2,114,5,5,2014-01-21,9.0,57,12.666666666666666
15,AW00011014,Sydney Bennett,51.0,"50 and above",NEW,146.0,2,138,6,5,2013-04-30,1.0,69,138.0
16,AW00011015,Chloe Young,40.0,"40-49",NEW,149.0,1,2501,3,3,2013-01-18,0.0,2501,2501.0
17,AW00011016,Wyatt Hill,40.0,"40-49",NEW,148.0,1,2332,3,3,2013-02-09,0.0,2332,2332.0
18,AW00011017,Shannon Wang,75.0,"50 and above",VIP,140.0,3,6434,4,4,2013-10-14,33.0,2144,194.96969696969697
19,AW00011018,Clarence Rai,69.0,"50 and above",VIP,140.0,3,6533,7,7,2013-10-24,33.0,2177,197.96969696969697
20,AW00011019,Luke Lal,41.0,"40-49",NEW,137.0,17,880,33,20,2014-01-12,11.0,51,80.0
21,AW00011020,Jordan King,41.0,"40-49",NEW,150.0,1,2317,2,2,2012-12-29,0.0,2317,2317.0
22,AW00011021,Destiny Wilson,41.0,"40-49",NEW,149.0,1,2372,3,3,2013-01-23,0.0,2372,2372.0
23,AW00011022,Ethan Zhang,41.0,"40-49",NEW,149.0,1,2322,2,2,2013-01-20,0.0,2322,2322.0
24,AW00011023,Seth Edwards,41.0,"40-49",NEW,137.0,2,122,6,6,2014-01-14,10.0,61,12.2
25,AW00011024,Russell Xie,41.0,"40-49",NEW,143.0,2,56,6,5,2013-07-26,0.0,28,56.0
26,AW00011025,Alejandro Beck,74.0,"50 and above",VIP,140.0,3,6577,6,6,2013-10-25,33.0,2192,199.3030303030303
27,AW00011026,Harold Sai,73.0,"50 and above",VIP,140.0,3,6575,7,7,2013-10-15,32.0,2191,205.46875
28,AW00011027,Jessie Zhao,73.0,"50 and above",VIP,140.0,3,6591,9,9,2013-10-24,33.0,2197,199.72727272727272
29,AW00011028,Jill Jimenez,73.0,"50 and above",VIP,140.0,3,6474,5,5,2013-10-07,32.0,2158,202.3125
30,AW00011029,Jimmy Moreno,73.0,"50 and above",VIP,139.0,3,6565,7,7,2013-11-11,33.0,2188,198.93939393939394
31,AW00011030,Bethany Yuan,67.0,"50 and above",VIP,139.0,3,6471,4,4,2013-11-09,33.0,2157,196.0909090909091
32,AW00011031,Theresa Ramos,72.0,"50 and above",VIP,139.0,3,6478,6,6,2013-11-13,33.0,2159,196.3030303030303
33,AW00011032,Denise Stone,72.0,"50 and above",VIP,139.0,3,6525,10,10,2013-11-08,32.0,2175,203.90625
34,AW00011033,Jaime Nath,66.0,"50 and above",VIP,139.0,3,6495,7,7,2013-11-05,32.0,2165,202.96875
35,AW00011034,Ebony Gonzalez,72.0,"50 and above",VIP,139.0,3,6491,4,4,2013-11-10,33.0,2163,196.6969696969697
36,AW00011035,Wendy Dominguez,71.0,"50 and above",VIP,139.0,3,6451,5,5,2013-11-15,33.0,2150,195.4848484848485
37,AW00011036,Jennifer Russell,41.0,"40-49",NEW,149.0,1,2355,2,2,2013-01-22,0.0,2355,2355.0
38,AW00011037,Chloe Garcia,42.0,"40-49",NEW,149.0,1,2374,7,7,2013-01-20,0.0,2374,2374.0
39,AW00011038,Diana Hernandez,71.0,"50 and above",VIP,139.0,3,6437,3,3,2013-11-12,33.0,2145,195.06060606060606
40,AW00011039,Marc Martin,71.0,"50 and above",VIP,139.0,3,6636,9,8,2013-11-11,33.0,2212,201.0909090909091
41,AW00011040,Jesse Murphy,42.0,"40-49",NEW,146.0,1,2351,3,3,2013-04-03,0.0,2351,2351.0
42,AW00011041,Amanda Carter,42.0,"40-49",NEW,149.0,1,2381,3,3,2013-01-14,0.0,2381,2381.0
43,AW00011042,Megan Sanchez,42.0,"40-49",NEW,140.0,2,3112,3,3,2013-10-17,8.0,1556,389.0
44,AW00011043,Nathan Simmons,43.0,"40-49",NEW,142.0,2,48,3,3,2013-08-18,3.0,24,16.0
45,AW00011044,Adam Flores,70.0,"50 and above",VIP,139.0,3,6515,7,7,2013-11-08,32.0,2171,203.59375
46,AW00011045,Leonard Nara,69.0,"50 and above",NEW,140.0,2,115,4,4,2013-10-29,6.0,57,19.166666666666668
47,AW00011046,Christine Yuan,69.0,"50 and above",VIP,139.0,3,6616,6,6,2013-11-12,33.0,2205,200.4848484848485
48,AW00011047,Jaclyn Lu,69.0,"50 and above",VIP,139.0,3,6582,4,4,2013-11-19,33.0,2194,199.45454545454547
49,AW00011048,Jeremy Powell,69.0,"50 and above",VIP,138.0,3,6498,8,8,2013-12-25,34.0,2166,191.11764705882354
50,AW00011049,Carol Rai,39.0,"30-39",NEW,140.0,2,81,5,5,2013-10-29,7.0,40,11.571428571428571
51,AW00011050,Alan Zheng,68.0,"50 and above",VIP,139.0,3,5007,6,6,2013-11-19,32.0,1669,156.46875
52,AW00011051,Daniel Johnson,68.0,"50 and above",NEW,138.0,2,124,5,5,2014-01-01,0.0,62,124.0
53,AW00011052,Heidi Lopez,68.0,"50 and above",VIP,145.0,3,8131,7,7,2013-05-27,27.0,2710,301.14814814814815
54,AW00011053,Ana Price,39.0,"30-39",NEW,149.0,1,2330,2,2,2013-01-17,0.0,2330,2330.0
55,AW00011054,Deanna Munoz,67.0,"50 and above",VIP,145.0,3,8223,6,6,2013-05-30,27.0,2741,304.55555555555554
56,AW00011055,Gilbert Raje,67.0,"50 and above",VIP,144.0,3,8168,8,8,2013-06-07,28.0,2722,291.7142857142857
57,AW00011056,Michele Nath,66.0,"50 and above",VIP,145.0,3,8207,8,8,2013-05-31,27.0,2735,303.962962962963
58,AW00011057,Carl Andersen,55.0,"50 and above",VIP,145.0,3,8088,4,4,2013-05-21,26.0,2696,311.0769230769231
59,AW00011058,Marc Diaz,60.0,"50 and above",VIP,144.0,3,8248,6,6,2013-06-04,26.0,2749,317.2307692307692
60,AW00011059,Ashlee Andersen,65.0,"50 and above",NEW,147.0,3,117,7,6,2013-03-16,0.0,39,117.0
61,AW00011060,Jon Zhou,65.0,"50 and above",VIP,144.0,3,8153,6,6,2013-06-25,27.0,2717,301.962962962963
62,AW00011061,Todd Gao,49.0,"40-49",VIP,144.0,3,8129,6,6,2013-06-14,27.0,2709,301.0740740740741
63,AW00011062,Noah Powell,44.0,"40-49",NEW,149.0,1,2352,3,3,2013-01-07,0.0,2352,2352.0
64,AW00011063,Angela Murphy,44.0,"40-49",NEW,149.0,1,2373,5,5,2013-01-12,0.0,2373,2373.0
65,AW00011064,Chase Reed,44.0,"40-49",NEW,149.0,1,2305,2,2,2013-01-25,0.0,2305,2305.0
66,AW00011065,Jessica Henderson,46.0,"40-49",NEW,137.0,2,202,5,4,2014-01-10,11.0,101,18.363636363636363
67,AW00011066,Grace Butler,46.0,"40-49",NEW,141.0,2,81,5,5,2013-09-19,3.0,40,27.0
68,AW00011067,Caleb Carter,43.0,"40-49",NEW,137.0,2,105,6,6,2014-01-12,4.0,52,26.25
69,AW00011068,Tiffany Liang,58.0,"50 and above",NEW,140.0,3,113,9,8,2013-10-08,5.0,37,22.6
70,AW00011069,Carolyn Navarro,58.0,"50 and above",VIP,144.0,3,8104,3,3,2013-06-04,25.0,2701,324.16
71,AW00011070,Willie Raji,64.0,"50 and above",VIP,144.0,3,8165,10,9,2013-06-26,25.0,2721,326.6
72,AW00011071,Linda Serrano,64.0,"50 and above",NEW,139.0,3,110,7,6,2013-12-01,9.0,36,12.222222222222221
73,AW00011072,Casey Luo,64.0,"50 and above",VIP,144.0,3,8194,7,7,2013-06-15,26.0,2731,315.15384615384613
74,AW00011073,Amy Ye,63.0,"50 and above",NEW,142.0,3,192,10,9,2013-08-21,4.0,64,48.0
75,AW00011074,Levi Arun,63.0,"50 and above",NEW,145.0,3,94,7,7,2013-05-27,2.0,31,47.0
76,AW00011075,Felicia Jimenez,62.0,"50 and above",VIP,144.0,3,8068,5,5,2013-06-24,25.0,2689,322.72
77,AW00011076,Blake Anderson,62.0,"50 and above",VIP,144.0,3,8159,4,4,2013-06-21,26.0,2719,313.8076923076923
78,AW00011077,Leah Ye,62.0,"50 and above",VIP,144.0,3,8169,5,5,2013-06-12,25.0,2723,326.76
